,vt_symbol,contract_size,industry_name
0,A99.DCE,10.0,油脂
1,AG99.SHFE,15.0,贵金属
2,AL99.SHFE,5.0,有色
3,AO99.SHFE,20.0,unknown
4,AP99.CZCE,10.0,农产品
5,AU99.SHFE,1000.0,贵金属
6,B99.DCE,10.0,油脂
7,BB99.DCE,500.0,建材
8,BC99.INE,5.0,有色
9,BR99.SHFE,5.0,unknown
10,BU99.SHFE,10.0,化工
11,C99.DCE,10.0,谷物
12,CF99.CZCE,5.0,软商品
13,CJ99.CZCE,5.0,农产品
14,CS99.DCE,10.0,农产品
15,CU99.SHFE,5.0,有色
16,CY99.CZCE,5.0,软商品
17,EB99.DCE,5.0,化工
18,EC99.INE,50.0,unknown
19,EG99.DCE,10.0,化工
20,ER99.CZCE,10.0,谷物
21,FB99.DCE,10.0,建材
22,FG99.CZCE,20.0,建材
23,FU99.SHFE,10.0,能源
24,HC99.SHFE,10.0,焦煤钢矿
25,I99.DCE,100.0,焦煤钢矿
26,IC99.CFFEX,200.0,股指
27,IF99.CFFEX,300.0,股指
28,IH99.CFFEX,300.0,股指
29,IM99.CFFEX,200.0,股指
30,J99.DCE,100.0,焦煤钢矿
31,JD99.DCE,10.0,农产品
32,JM99.DCE,60.0,焦煤钢矿
33,JR99.CZCE,20.0,谷物
34,L99.DCE,5.0,化工
35,LC99.GFEX,1.0,unknown
36,LG99.DCE,90.0,农产品
37,LH99.DCE,16.0,农产品
38,LR99.CZCE,20.0,谷物
39,LU99.INE,10.0,能源
40,M99.DCE,10.0,油脂
41,MA99.CZCE,10.0,化工
42,ME99.CZCE,50.0,化工
43,NI99.SHFE,1.0,有色
44,NR99.INE,10.0,化工
45,OI99.CZCE,10.0,油脂
46,P99.DCE,10.0,油脂
47,PB99.SHFE,5.0,有色
48,PF99.CZCE,5.0,化工
49,PG99.DCE,20.0,能源
50,PK99.CZCE,5.0,农产品
51,PM99.CZCE,50.0,谷物
52,PP99.DCE,5.0,化工
53,PR99.CZCE,15.0,unknown
54,PS99.GFEX,3.0,unknown
55,PX99.CZCE,5.0,化工
56,RB99.SHFE,10.0,焦煤钢矿
57,RI99.CZCE,20.0,谷物
58,RM99.CZCE,10.0,油脂
59,RO99.CZCE,5.0,油脂
60,RR99.DCE,10.0,谷物
61,RS99.CZCE,10.0,油脂
62,RU99.SHFE,5.0,化工
63,S99.DCE,10.0,谷物
64,SA99.CZCE,20.0,化工
65,SC99.INE,1000.0,能源
66,SF99.CZCE,5.0,焦煤钢矿
67,SH99.CZCE,30.0,化工
68,SI99.GFEX,5.0,unknown
69,SM99.CZCE,5.0,焦煤钢矿
70,SN99.SHFE,1.0,有色
71,SP99.SHFE,10.0,化工
72,SR99.CZCE,10.0,软商品
73,SS99.SHFE,5.0,焦煤钢矿
74,T99.CFFEX,10000.0,国债
75,TA99.CZCE,5.0,化工
76,TC99.CZCE,200.0,能源
77,TF99.CFFEX,10000.0,国债
78,TL99.CFFEX,10000.0,国债
79,TS99.CFFEX,20000.0,国债
80,UR99.CZCE,20.0,化工
81,V99.DCE,5.0,建材
82,WH99.CZCE,20.0,谷物
83,WR99.SHFE,10.0,焦煤钢矿
84,WS99.CZCE,10.0,谷物
85,WT99.CZCE,10.0,谷物
86,Y99.DCE,10.0,油脂
87,ZC99.CZCE,100.0,能源
88,ZN99.SHFE,5.0,有色
89,rb2510.SHFE,10.0,焦煤钢矿
90,ec2510.INE,50.0,unknown
91,ao2509.SHFE,20.0,unknown
92,SA509.CZCE,20.0,化工
93,hc2510.SHFE,10.0,焦煤钢矿
94,TL2509.CFFEX,10000.0,国债
95,sp2509.SHFE,10.0,化工
96,CF509.CZCE,5.0,软商品
97,jm2601.DCE,60.0,焦煤钢矿
98,SM509.CZCE,5.0,焦煤钢矿
99,TA509.CZCE,5.0,化工
100,IF2509.CFFEX,300.0,股指
101,IM2509.CFFEX,200.0,股指
102,si2509.GFEX,5.0,unknown
103,c2509.DCE,10.0,谷物
104,jd2509.DCE,10.0,农产品